Date,AQI_Forecast
2024-12-31,23.975660116730893
2025-01-01,41.17082333162174
2025-01-02,24.483006648037986
2025-01-03,28.771313826893753
2025-01-04,20.38567027542515
2025-01-05,28.771313826893753
2025-01-06,27.819317903537076
2025-01-07,28.771313826893753
2025-01-08,29.779501741838473
2025-01-09,26.146180982977278
2025-01-10,28.771313826893753
2025-01-11,28.771313826893753
2025-01-12,28.94670310773258
2025-01-13,28.77131382674728
2025-01-14,28.771313826893753
2025-01-15,23.49166728588291
2025-01-16,19.551896276382468
2025-01-17,27.380699935718507
2025-01-18,28.771313826893753
2025-01-19,44.29515243801136
2025-01-20,23.837695372135308
2025-01-21,22.300157999506503
2025-01-22,19.335131532049452
2025-01-23,18.42365608677664
2025-01-24,26.55938852669459
2025-01-25,28.771313826893753
2025-01-26,21.73625131772181
2025-01-27,25.48311875411085
